CaminhoRelativo,Motivo,TamanhoBytes
webalizer/ctry_usage_201310.png,technical-root,5202
webalizer/ctry_usage_201311.png,technical-root,5161
webalizer/ctry_usage_201312.png,technical-root,5396
webalizer/ctry_usage_201401.png,technical-root,5341
webalizer/ctry_usage_201402.png,technical-root,5289
webalizer/ctry_usage_201403.png,technical-root,4389
webalizer/ctry_usage_201404.png,technical-root,4907
webalizer/ctry_usage_201405.png,technical-root,4978
webalizer/ctry_usage_201406.png,technical-root,4459
webalizer/ctry_usage_201407.png,technical-root,4318
webalizer/ctry_usage_201408.png,technical-root,5305
webalizer/ctry_usage_201409.png,technical-root,4814
webalizer/ctry_usage_201410.png,technical-root,5406
webalizer/ctry_usage_201411.png,technical-root,4693
webalizer/ctry_usage_201412.png,technical-root,5109
webalizer/ctry_usage_201501.png,technical-root,4937
webalizer/ctry_usage_201502.png,technical-root,5492
webalizer/ctry_usage_201503.png,technical-root,5134
webalizer/ctry_usage_201504.png,technical-root,4890
webalizer/ctry_usage_201505.png,technical-root,5428
webalizer/ctry_usage_201506.png,technical-root,4517
webalizer/ctry_usage_201507.png,technical-root,4683
webalizer/ctry_usage_201508.png,technical-root,5161
webalizer/ctry_usage_201509.png,technical-root,5475
webalizer/ctry_usage_201510.png,technical-root,5291
webalizer/ctry_usage_201511.png,technical-root,5640
webalizer/ctry_usage_201512.png,technical-root,5515
webalizer/ctry_usage_201601.png,technical-root,4614
webalizer/ctry_usage_201602.png,technical-root,5035
webalizer/ctry_usage_201603.png,technical-root,5304
webalizer/ctry_usage_201604.png,technical-root,4793
webalizer/ctry_usage_201605.png,technical-root,4331
webalizer/ctry_usage_201606.png,technical-root,5295
webalizer/ctry_usage_201607.png,technical-root,5177
webalizer/ctry_usage_201608.png,technical-root,5462
webalizer/ctry_usage_201609.png,technical-root,4867
webalizer/ctry_usage_201610.png,technical-root,5427
webalizer/ctry_usage_201611.png,technical-root,5391
webalizer/ctry_usage_201612.png,technical-root,5538
webalizer/ctry_usage_201701.png,technical-root,5490
webalizer/ctry_usage_201702.png,technical-root,4666
webalizer/ctry_usage_201703.png,technical-root,5194
webalizer/ctry_usage_201704.png,technical-root,5518
webalizer/ctry_usage_201705.png,technical-root,5332
webalizer/ctry_usage_201706.png,technical-root,5196
webalizer/ctry_usage_201707.png,technical-root,5069
webalizer/ctry_usage_201708.png,technical-root,5396
webalizer/ctry_usage_201709.png,technical-root,5186
webalizer/daily_usage_200509.png,technical-root,3342
webalizer/daily_usage_200510.png,technical-root,3852
webalizer/daily_usage_200511.png,technical-root,3896
webalizer/daily_usage_200512.png,technical-root,3922
webalizer/daily_usage_200601.png,technical-root,3870
webalizer/daily_usage_200602.png,technical-root,3930
webalizer/daily_usage_200603.png,technical-root,3925
webalizer/daily_usage_200604.png,technical-root,4050
webalizer/daily_usage_200605.png,technical-root,4026
webalizer/daily_usage_200606.png,technical-root,3788
webalizer/daily_usage_200607.png,technical-root,3934
webalizer/daily_usage_200608.png,technical-root,3585
webalizer/daily_usage_200609.png,technical-root,3768
webalizer/daily_usage_200610.png,technical-root,3877
webalizer/daily_usage_200611.png,technical-root,4075
webalizer/daily_usage_200612.png,technical-root,3984
webalizer/daily_usage_200701.png,technical-root,4011
webalizer/daily_usage_200702.png,technical-root,4056
webalizer/daily_usage_200703.png,technical-root,3955
webalizer/daily_usage_200704.png,technical-root,3907
webalizer/daily_usage_200705.png,technical-root,3885
webalizer/daily_usage_200706.png,technical-root,3787
webalizer/daily_usage_200707.png,technical-root,4038
webalizer/daily_usage_200708.png,technical-root,4019
webalizer/daily_usage_200709.png,technical-root,4088
webalizer/daily_usage_200710.png,technical-root,4029
webalizer/daily_usage_200711.png,technical-root,4191
webalizer/daily_usage_200712.png,technical-root,3616
webalizer/daily_usage_200801.png,technical-root,3886
webalizer/daily_usage_200802.png,technical-root,3968
webalizer/daily_usage_200803.png,technical-root,4029
webalizer/daily_usage_200804.png,technical-root,4118
webalizer/daily_usage_200805.png,technical-root,4117
webalizer/daily_usage_200806.png,technical-root,3783
webalizer/daily_usage_200807.png,technical-root,3290
webalizer/daily_usage_200808.png,technical-root,4204
webalizer/daily_usage_200809.png,technical-root,3950
webalizer/daily_usage_200810.png,technical-root,3898
webalizer/daily_usage_200811.png,technical-root,3967
webalizer/daily_usage_200812.png,technical-root,4064
webalizer/daily_usage_200901.png,technical-root,4146
webalizer/daily_usage_200902.png,technical-root,4054
webalizer/daily_usage_200903.png,technical-root,4204
webalizer/daily_usage_200904.png,technical-root,4057
webalizer/daily_usage_200905.png,technical-root,4091
webalizer/daily_usage_200906.png,technical-root,3869
webalizer/daily_usage_200907.png,technical-root,4074
webalizer/daily_usage_200908.png,technical-root,4110
webalizer/daily_usage_200909.png,technical-root,4046
webalizer/daily_usage_200910.png,technical-root,4050
webalizer/daily_usage_200911.png,technical-root,4140
webalizer/daily_usage_200912.png,technical-root,4108
webalizer/daily_usage_201001.png,technical-root,3755
webalizer/daily_usage_201002.png,technical-root,4105
webalizer/daily_usage_201003.png,technical-root,4132
webalizer/daily_usage_201004.png,technical-root,4065
webalizer/daily_usage_201005.png,technical-root,4139
webalizer/daily_usage_201006.png,technical-root,4193
webalizer/daily_usage_201007.png,technical-root,4093
webalizer/daily_usage_201008.png,technical-root,4063
webalizer/daily_usage_201009.png,technical-root,4112
webalizer/daily_usage_201010.png,technical-root,4163
webalizer/daily_usage_201011.png,technical-root,4146
webalizer/daily_usage_201012.png,technical-root,3937
webalizer/daily_usage_201101.png,technical-root,4138
webalizer/daily_usage_201102.png,technical-root,3986
webalizer/daily_usage_201103.png,technical-root,4046
webalizer/daily_usage_201104.png,technical-root,3944
webalizer/daily_usage_201105.png,technical-root,4096
webalizer/daily_usage_201106.png,technical-root,3948
webalizer/daily_usage_201107.png,technical-root,4119
webalizer/daily_usage_201108.png,technical-root,4058
webalizer/daily_usage_201109.png,technical-root,4089
webalizer/daily_usage_201110.png,technical-root,4113
webalizer/daily_usage_201111.png,technical-root,4091
webalizer/daily_usage_201112.png,technical-root,4130
webalizer/daily_usage_201201.png,technical-root,4192
webalizer/daily_usage_201202.png,technical-root,4082
webalizer/daily_usage_201203.png,technical-root,4151
webalizer/daily_usage_201204.png,technical-root,4170
webalizer/daily_usage_201205.png,technical-root,4154
webalizer/daily_usage_201206.png,technical-root,4154
webalizer/daily_usage_201207.png,technical-root,4061
webalizer/daily_usage_201208.png,technical-root,4126
webalizer/daily_usage_201209.png,technical-root,4147
webalizer/daily_usage_201210.png,technical-root,4094
webalizer/daily_usage_201211.png,technical-root,4124
webalizer/daily_usage_201212.png,technical-root,4110
webalizer/daily_usage_201301.png,technical-root,4032
webalizer/daily_usage_201302.png,technical-root,4095
webalizer/daily_usage_201303.png,technical-root,4143
webalizer/daily_usage_201304.png,technical-root,4137
webalizer/daily_usage_201305.png,technical-root,4075
webalizer/daily_usage_201306.png,technical-root,3990
webalizer/daily_usage_201307.png,technical-root,3873
webalizer/daily_usage_201308.png,technical-root,3973
webalizer/daily_usage_201309.png,technical-root,4091
webalizer/daily_usage_201310.png,technical-root,4119
webalizer/daily_usage_201311.png,technical-root,4171
webalizer/daily_usage_201312.png,technical-root,4149
webalizer/daily_usage_201401.png,technical-root,4145
webalizer/daily_usage_201402.png,technical-root,4079
webalizer/daily_usage_201403.png,technical-root,4057
webalizer/daily_usage_201404.png,technical-root,4117
webalizer/daily_usage_201405.png,technical-root,3808
webalizer/daily_usage_201406.png,technical-root,4141
webalizer/daily_usage_201407.png,technical-root,4111
webalizer/daily_usage_201408.png,technical-root,4125
webalizer/daily_usage_201409.png,technical-root,4140
webalizer/daily_usage_201410.png,technical-root,4105
webalizer/daily_usage_201411.png,technical-root,4052
webalizer/daily_usage_201412.png,technical-root,4194
webalizer/daily_usage_201501.png,technical-root,4098
webalizer/daily_usage_201502.png,technical-root,4046
webalizer/daily_usage_201503.png,technical-root,3934
webalizer/daily_usage_201504.png,technical-root,3924
webalizer/daily_usage_201505.png,technical-root,4152
webalizer/daily_usage_201506.png,technical-root,4021
webalizer/daily_usage_201507.png,technical-root,3992
webalizer/daily_usage_201508.png,technical-root,4125
webalizer/daily_usage_201509.png,technical-root,4076
webalizer/daily_usage_201510.png,technical-root,3994
webalizer/daily_usage_201511.png,technical-root,4166
webalizer/daily_usage_201512.png,technical-root,4141
webalizer/daily_usage_201601.png,technical-root,4191
webalizer/daily_usage_201602.png,technical-root,4053
webalizer/daily_usage_201603.png,technical-root,4121
webalizer/daily_usage_201604.png,technical-root,3971
webalizer/daily_usage_201605.png,technical-root,4109
webalizer/daily_usage_201606.png,technical-root,4170
webalizer/daily_usage_201607.png,technical-root,4106
webalizer/daily_usage_201608.png,technical-root,4097
webalizer/daily_usage_201609.png,technical-root,4187
webalizer/daily_usage_201610.png,technical-root,4098
webalizer/daily_usage_201611.png,technical-root,4169
webalizer/daily_usage_201612.png,technical-root,4049
webalizer/daily_usage_201701.png,technical-root,4094
webalizer/daily_usage_201702.png,technical-root,4098
webalizer/daily_usage_201703.png,technical-root,4080
webalizer/daily_usage_201704.png,technical-root,4081
webalizer/daily_usage_201705.png,technical-root,4036
webalizer/daily_usage_201706.png,technical-root,3980
webalizer/daily_usage_201707.png,technical-root,4051
webalizer/daily_usage_201708.png,technical-root,4076
webalizer/daily_usage_201709.png,technical-root,3335
webalizer/default.html,technical-root,10483
webalizer/dns_cache.db,technical-root,17177
webalizer/hourly_usage_200509.png,technical-root,2125
webalizer/hourly_usage_200510.png,technical-root,2194
webalizer/hourly_usage_200511.png,technical-root,2271
webalizer/hourly_usage_200512.png,technical-root,2189
webalizer/hourly_usage_200601.png,technical-root,2089
webalizer/hourly_usage_200602.png,technical-root,2225
webalizer/hourly_usage_200603.png,technical-root,2213
webalizer/hourly_usage_200604.png,technical-root,2232
webalizer/hourly_usage_200605.png,technical-root,2177
webalizer/hourly_usage_200606.png,technical-root,2166
webalizer/hourly_usage_200607.png,technical-root,2132
webalizer/hourly_usage_200608.png,technical-root,2196
webalizer/hourly_usage_200609.png,technical-root,2227
webalizer/hourly_usage_200610.png,technical-root,2177
webalizer/hourly_usage_200611.png,technical-root,2166
webalizer/hourly_usage_200612.png,technical-root,2104
webalizer/hourly_usage_200701.png,technical-root,2025
webalizer/hourly_usage_200702.png,technical-root,2191
webalizer/hourly_usage_200703.png,technical-root,2186
webalizer/hourly_usage_200704.png,technical-root,2211
webalizer/hourly_usage_200705.png,technical-root,2214
webalizer/hourly_usage_200706.png,technical-root,2127
webalizer/hourly_usage_200707.png,technical-root,2150
webalizer/hourly_usage_200708.png,technical-root,2169
webalizer/hourly_usage_200709.png,technical-root,2191
webalizer/hourly_usage_200710.png,technical-root,2203
webalizer/hourly_usage_200711.png,technical-root,2187
webalizer/hourly_usage_200712.png,technical-root,2242
webalizer/hourly_usage_200801.png,technical-root,2206
webalizer/hourly_usage_200802.png,technical-root,2247
webalizer/hourly_usage_200803.png,technical-root,2213
webalizer/hourly_usage_200804.png,technical-root,2199
webalizer/hourly_usage_200805.png,technical-root,2104
webalizer/hourly_usage_200806.png,technical-root,2166
webalizer/hourly_usage_200807.png,technical-root,2073
webalizer/hourly_usage_200808.png,technical-root,2223
webalizer/hourly_usage_200809.png,technical-root,2245
webalizer/hourly_usage_200810.png,technical-root,2204
webalizer/hourly_usage_200811.png,technical-root,2229
webalizer/hourly_usage_200812.png,technical-root,2187
webalizer/hourly_usage_200901.png,technical-root,2211
webalizer/hourly_usage_200902.png,technical-root,2255
webalizer/hourly_usage_200903.png,technical-root,2214
webalizer/hourly_usage_200904.png,technical-root,2190
webalizer/hourly_usage_200905.png,technical-root,2178
webalizer/hourly_usage_200906.png,technical-root,2118
webalizer/hourly_usage_200907.png,technical-root,2230
webalizer/hourly_usage_200908.png,technical-root,2181
webalizer/hourly_usage_200909.png,technical-root,2266
webalizer/hourly_usage_200910.png,technical-root,2221
webalizer/hourly_usage_200911.png,technical-root,2199
webalizer/hourly_usage_200912.png,technical-root,2208
webalizer/hourly_usage_201001.png,technical-root,2205
webalizer/hourly_usage_201002.png,technical-root,2260
webalizer/hourly_usage_201003.png,technical-root,2228
webalizer/hourly_usage_201004.png,technical-root,2215
webalizer/hourly_usage_201005.png,technical-root,2194
webalizer/hourly_usage_201006.png,technical-root,2202
webalizer/hourly_usage_201007.png,technical-root,2236
webalizer/hourly_usage_201008.png,technical-root,2212
webalizer/hourly_usage_201009.png,technical-root,2208
webalizer/hourly_usage_201010.png,technical-root,2258
webalizer/hourly_usage_201011.png,technical-root,2210
webalizer/hourly_usage_201012.png,technical-root,2232
