item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class
42552,paises/brasil/atletico/2015.htm#editorial:hx001:table-488:description-table-497,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/04_16,item:8a9a85a44333a4368a7e08aea8f87ec5f5e2839313b4e2fdf88bc35d0db934ca,2015,2015-733e5c,/items/brasil/teams/atletico/collections/04-15/2015-733e5c,/items/brasil/teams/atletico/collections/04-16/2015-733e5c,unique record references,ET028_EXCLUSIVE
42553,paises/brasil/atletico/2015.htm#editorial:hx001:table-513:description-table-522,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/04_16,item:9d2f7075fbaea13bf3ea1c38d3994aeb3b83c2093f8c1e6565748e0811417f58,2015,2015-b4b757,/items/brasil/teams/atletico/collections/04-15/2015-b4b757,/items/brasil/teams/atletico/collections/04-16/2015-b4b757,unique record references,ET028_EXCLUSIVE
42554,paises/brasil/atletico/2015.htm#editorial:hx001:table-538:description-table-547,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/04_16,item:1b036e02ae5a323f8ce447e656477efbc3ef9cd2928db09e5e0df2c1bf85d750,2015,2015-d0fe39,/items/brasil/teams/atletico/collections/04-15/2015-d0fe39,/items/brasil/teams/atletico/collections/04-16/2015-d0fe39,unique record references,ET028_EXCLUSIVE
42557,paises/brasil/atletico/2015.htm#editorial:hx001:table-613:description-table-622,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:7fea1a660d651df35a9dc382cae13d5b42a82b36c29514427d41fa7c777a6c1a,2015,2015-055676,/items/brasil/teams/atletico/collections/04-15/2015-055676,/items/brasil/teams/atletico/collections/03-16/2015-055676,unique record references,ET028_EXCLUSIVE
42559,paises/brasil/atletico/2015.htm#editorial:hx001:table-663:description-table-672,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:14657c3c0dd2a428e61926838ed572081224d8b14f8d31297e749c328af189ae,2015,2015-65418b,/items/brasil/teams/atletico/collections/04-15/2015-65418b,/items/brasil/teams/atletico/collections/03-16/2015-65418b,unique record references,ET028_EXCLUSIVE
42560,paises/brasil/atletico/2015.htm#editorial:hx001:table-688:description-table-695,paises/brasil/atletico,camisas/brasil/atletico/04_15,camisas/brasil/atletico/03_16,item:38f5c07aa5a36f5ca45e0d60f8215ac84c495aabaa9355679ec7eb0fe6ed2bae,2015,2015-33bc4f,/items/brasil/teams/atletico/collections/04-15/2015-33bc4f,/items/brasil/teams/atletico/collections/03-16/2015-33bc4f,unique record references,ET028_EXCLUSIVE
42568,paises/brasil/atletico/2016.htm#editorial:hx001:table-165:description-table-174,paises/brasil/atletico,camisas/brasil/atletico/03_17,camisas/brasil/atletico/04_20,item:55b869d85f4964088f50e5f0249346bac987884f00b7add834623f10178119ff,2016,2016-3e56d3,/items/brasil/teams/atletico/collections/03-17/2016-3e56d3,/items/brasil/teams/atletico/collections/04-20/2016-3e56d3,unique record references,ET028_EXCLUSIVE
42569,paises/brasil/atletico/2016.htm#editorial:hx001:table-188:description-table-197,paises/brasil/atletico,camisas/brasil/atletico/03_17,camisas/brasil/atletico/04_20,item:8fcc2758aeae379e1c3afeae63f1465158e6f11cb5cbfb757dbfbb0254e5fd68,2016,2016-016d26,/items/brasil/teams/atletico/collections/03-17/2016-016d26,/items/brasil/teams/atletico/collections/04-20/2016-016d26,unique record references,ET028_EXCLUSIVE
42570,paises/brasil/atletico/2016.htm#editorial:hx001:table-211:description-table-220,paises/brasil/atletico,camisas/brasil/atletico/03_17,camisas/brasil/atletico/04_20,item:c2b164b29c77f6eb7c5f115be9548cb16ba23ea8ddd9f2b4c87ae7acfe6017b0,2016,2016-e8d66a,/items/brasil/teams/atletico/collections/03-17/2016-e8d66a,/items/brasil/teams/atletico/collections/04-20/2016-e8d66a,unique record references,ET028_EXCLUSIVE
42583,paises/brasil/atletico/2017.htm#editorial:hx001:table-33:description-table-42,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/03_20,item:befd897028411553c82029bd25d12f5f46a47ed2663252153f7b697f5cf9956c,2017,2017-21429e,/items/brasil/teams/atletico/collections/07-17/2017-21429e,/items/brasil/teams/atletico/collections/03-20/2017-21429e,unique record references,ET028_EXCLUSIVE
42584,paises/brasil/atletico/2017.htm#editorial:hx001:table-56:description-table-65,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/03_20,item:ec57bf89bf4b8413776cdc3d7a05108fcaa67f4b3d9a30df3bcf2f91fcb33994,2017,2017-ada18c,/items/brasil/teams/atletico/collections/07-17/2017-ada18c,/items/brasil/teams/atletico/collections/03-20/2017-ada18c,unique record references,ET028_EXCLUSIVE
42586,paises/brasil/atletico/2017.htm#editorial:hx001:table-101:description-table-110,paises/brasil/atletico,camisas/brasil/atletico/07_17,camisas/brasil/atletico/11_17,item:984634383166c06adfbcea95de1d0ddbc96f43f1efaa7f3b6756ce96dda8e5f7,2017,2017-6d9b3c,/items/brasil/teams/atletico/collections/07-17/2017-6d9b3c,/items/brasil/teams/atletico/collections/11-17/2017-6d9b3c,unique record references,ET028_EXCLUSIVE
